"","ratings","date","review_header","review","Topic"
"148",5,"February 8, 2016","my favourite place for dessert in nyc","fun bright little dessert bar that serves so many amazing flavours of rice pudding. so yummy ! especially after dinner in little italy (and then walk back to your hotel to feel better about all those calories).",2
"149",5,"February 5, 2016","amazing rice pudding, tons of different flavors to choose from","i've never tried a flavor i don't like at rice to riches and all their rice puddings are super creamy, rich and delicious! i particularly like their french toast pudding, with the hints of vanilla and cinnamon. they also have fruitier ones (rasperry, key lime,...more",4
"150",5,"February 5, 2016","great set-up and amazing flavors","the rice pudding is amazing & you have so many choices. even if you aren't a rice pudding fan you should give this a try. very clean looking and friendly atmosphere.",4
"151",5,"January 20, 2016","better than when mama makes it","love coming to this place... it has a smorgasbord of flavor and toppings.
you get to have your favorite in sizes from individual to omg!,
place is super clean, you can try any of the favors
and take some home. they even let you take...more",4
"152",5,"January 20, 2016","totally unique, totally delicious","the only disappointment is that i don't live in nyc so i can have this more often. the place is fun and irreverent. the pudding is amazing, so many choices its hard to decide. even those who aren't rice pudding fans need to give this...more",4
"153",5,"January 18, 2016","love it...unique","this is my second visit to this unique spot. they only serve rice pudding, but in many flavors. we love going there if we have the time while we are in nyc. my only wish is there would be more tables to sit at inside.",3
"154",5,"January 18, 2016","so unexpectedly yummy!!","who knew rice pudding could have so many flavors and be so delicious? wonderful, unique shop near soho and little italy. one of our family's favorite places when visiting nyc.",5
"155",5,"January 15, 2016","yum!","went late after dinner. this place was still packed. we tried several types of rice pudding, including rum raisin, french toast and chocolate. all were incredible! share and try as many as possible.",4
"156",5,"January 14, 2016","omg! don't miss it!","found this place by accident and was soooo glad we did!! absolutely amazing sweet flavours of rice in different sizes containers, eat in or takeaway. i has the french toast one and banana coconut! hubby had choc espresso! my mouth is watering at the memory....more",1
"157",5,"January 9, 2016","a shop devoted to rice pudding ? incredible !!!","we found rice to riches by accident as we were having pizza across the road at lombardi's (also great btw). we were all too full except for my daughter who just couldn't resist a pot, the taste was incredible. we wanted to go back but...more",1
"158",5,"January 8, 2016","delicious","when we visited nyc for the first time, a friend of ours took us to rice to riches. i had never had rice pudding, so i was skeptical, but since going there my wife and i stop by at least once every time we're in...more",3
"159",5,"January 6, 2016","stumbled upon r to r by accident","i was visiting my son in nyc and we were in little italy walking around and our phones needed charged. we saw this cute little shop and went in to see if they had electrical outlets to plug our phones in. we did find outlets...more",5
"160",2,"January 5, 2016","like that you can taste before buying and the options","but the flavors were either overwhelming or bland.... the service is friendly if a bit crazy as the one girl had to serve tourists who just came to taste and those who were actually buying. the kids in our group won't go back",5
"161",5,"December 28, 2015","so good","the rice pudding was fantastic, it was quick easy to order despite how busy or was. it was delicious, we ordered an epic between two and it was more than enough",2
"162",5,"December 25, 2015","we come here a couple times a year!","every christmas eve, since we don't celebrate christmas, we go to peking duck in chinatown (awesome, btw), and then come here for dessert. i've never seen so many flavors of rice pudding. like 25 of them or more. this place ""ain't what i call cheap,""...more",3
"163",5,"December 18, 2015","required reading","this place is a must-visit when you're in nyc. it's completely unique in terms of both the food and the decor. also, the rice puddings are all absolutely delicious!",2
"164",5,"December 17, 2015","almost better than sex","rice pudding in dozens of incarnations. try cinnamon and mascarpone for a start. even if you hate rice you will love this place and the creative idea. time for the concept to expand to other parts of the city, country and the world.
make sure...more",5
"165",4,"December 9, 2015","for an unusual snack, stop here and try one of oh so many varieties of rice pudding","this is a frist in my book; i've not seen a shop like this anywhere else. it's a very chic shop offering 20 or ore flavors of rice pudding - the line was practically out the door and the smell was divine - took me...more",4
"166",5,"December 5, 2015","simply amazing flavored rice pudding! !!!","i'm not big on rice pudding but the family wanted to go. so i went to check it out. .the place is very cool and very upbeat along with tons of flavors of rice pudding. ..a little expensive for rice pudding i thought hints the...more",4
"167",4,"December 2, 2015","a rice pudding store? absolutely!!","went to nyc with a friend this weekend and she wanted me to try rice to riches. we decided to go there after having lunch at eataly. i thought it was interesting to find a store that sold only rice pudding - but was shocked...more",3
"168",5,"November 30, 2015","wow","take a break and indulge in some amazing rice pudding. they have good old fashion like grandma use to make and 20 other flavors. chocolate chip, vanilla, pumpkin, coconut just to name a few.",1
"169",4,"November 29, 2015","nice but very rich","this is the cutest shop. had funny signs all over. real fun to read all of them.
rice pudding is cold and nice but very rich. so sharing is a good idea.",2
"170",5,"November 28, 2015","yummy!","crazy selection of rice pudding flavors you have never heard of. definitely not your average rice pudding. we got the three flavor sampler which was more than enough for two adults and two teens to share! try the mascarpone-delicious! fun little shop-read all the slogans...more",5
"171",5,"November 26, 2015","rice pudding never tasted so good !","visualize the baskin robbins of rice puddings only better !
at least 20 different kind of rice puddings including toppings (which i never get)
cute names for each pudding and seasonal too - i had the pumpkin pie today.
east in or take away. great...more",4
"172",5,"November 20, 2015","never thought of going to a rice pudding store!!","we happened to be walking by and saw a lot of people standing and eating in the store.
it looks like a ice cream store, plenty of flavors to choose from and there was all these people.. so we walked in and was really surprised.....more",1
"173",5,"November 11, 2015","amazing!!!","the most amazing rice pudding i have ever had! it's just perfect for winter time - i'm definitely going back next time i'm in nyc",3
"174",5,"November 11, 2015","please release rice to riches cookbook!","this place is amazing. i love rice pudding anyway but the variety of flavours here just blew me away. the staff are lovely and very helpful and the premises is very clean and modern (and quirky, with the witty signs hung all over!).
because there...more",1
"175",4,"November 9, 2015","very large selection!","i could not believe that actually a place like this with only rice pudding exists, but apperently it does, and the pudding is delicious! they have a huge selection!
i have personally tried two of them: tiramisu and cheesecake, and they both were amazing!",4
"176",5,"November 9, 2015","rice pudding at it's best","my wife and i heard about rice to riches from a friend and decided to try it out. we sampled 2 or 3 flavors before deciding what to order. we got the banana cream and the rocky road flavors and they were very good. we...more",5
"177",5,"November 8, 2015","never rice pudding could be so good","we happend by this trendy spring street dessert restaurant and were well pleased. they have a selection of 20+ flavors of rice pudding and offer samples. yes, rice pudding is pretty much all they serve and they do it very well. we had the rum...more",1
"178",5,"November 4, 2015","once you eat, you never forget !","i have eaten their pudding 9 years ago for the first time and could not forget the taste! go for the chocolate one; it is so yummy! their portions are quite big though, so be careful when you order. i usually go there hungry at...more",3
"179",5,"October 30, 2015","unique and delicious","whenever i visit new york city, i always make a pilgrimage to this delightful rice pudding emporium. there is nothing quite like it and it deserves the highest kudos. they have the winning formula and kindly provide tastes of any flavour before you commit to...more",3
"180",5,"October 24, 2015","great rice pudding - must do if you visit nyc","title says it all. don't expect to sit down, it's small and has a couple of standing tables. great rice pudding and great toppings. just beware: a small portion is very filling.",1
"181",5,"October 21, 2015","rice so nice - it will entice!!!","i'm a lover of warm rice pudding - this just blew me out of the ball park!!! cold rice indulgence...who would have thought!! i couldn't choose! so i had four flavours!!! my favourite one being the coast to coast cheesecake and man-made mascarpone and to...more",3
"182",4,"October 21, 2015","addictive rice puddings","they have a big diversity of tasty rice puddings that come in reusable containers. the place is overcrowded with funny message, that can entertain while eating the pudding.
we enjoyed the place and the puddings, we will defiantly revisit.",1
"183",5,"October 20, 2015","the best rice pudding ","i love it!!! the best rice pudding ever.
this place is amazing.
we had tiramisu flavor, rum and raisins, chocolate and all was very taste. i wish i have one close to home. delicious!!!!!",1
"184",5,"October 14, 2015","my favourite place for dessert in nyc","where else in the world would you find a dessert bar/cafe dedicated to creamed rice desserts? but this is not just for the tourists. some great quality ingredients make for an amazing array of tastes. colourful, fun vibe. highly recommended for dessert, perhaps after nearby...more",1
"185",4,"October 14, 2015","i have been in heaven","the rice dishes are the best ive tried! thank you for bringing up this concept. i hope to see it soon in germany too.",1
"186",5,"October 14, 2015","the best rice pudding in new york city","if you love rice pudding this is the place for you.. they have so many different flavors to choose from! if you are having a hard time deciding, the staff will gladly help you and offer a taste of each flavor to sample.",1
"187",5,"October 11, 2015","oh so good!","every time i visit nyc with my mum this is a ""must do"" on our list. she insists that the rice pudding is amazing. i think the atmosphere is great and always get myself a new fridge magnet when we visit. its great rice pudding...more",4
"188",5,"October 6, 2015","i died and went to rice pudding heaven!","this place is a rice pudding lovers paradise. there are so many excellent flavors to choose from. they let you try several before making your final selection. try the three flavor bowl. don't forget, life's uncertain, eat dessert first. from.fmust go place!",4
"189",5,"October 4, 2015","surrender to sweetness (and rice pudding)!","i just stumbled into this place out of sheer curiosity. from the signs on the street you would not guess so easily what they are all about. but i learned very soon that you can take a lot of time expressing every variation of smiling...more",2
"190",5,"October 2, 2015","guilty pleasure ","definitely a must! this place is one of my favorites and i would recommend it to anyone!
the bowl used and the spoon are beautiful, the rice pudding incredible and the service is always nice.",4
"191",5,"September 27, 2015","love of rice!","rice to riches is such a fun place to visit. it's located in a great section of manhattan, with many other great restaurants to visit near by. the selection and presentation of rice pudding is off the charts amazing. the place is clean and you...more",1
"192",5,"September 22, 2015","delicious rice pudding","a friend told us about this place that serves a trillion flavor a of rice pudding, so we had to try it. fabulous! i tasted two and picked the mascarpone. what a delightful, delicious treat. my friend had the caramel and loved it. i'll be...more",5
"193",5,"September 17, 2015","what a treat!","a very unexpected treat. the choices were extensive and we wouldn't have thought of rice pudding as a great treat, but we were surprised. the service was great and the pudding enjoyable.",5
"194",5,"September 15, 2015","best rice pudding ever","at the san genaro festival my husband points out look rice to riches so i go in just to look i ask for a sample of the marscapone and that was it, i had to have it, the price to portion size was great, did...more",5
"195",5,"September 15, 2015","surprise find!","we were sitting in the restaurant across the street and i could see the board outside listing the various flavours but assumed it was ice cream. i couldn't resist a closer look when we had finished our meal and was amazed it was rice pudding...more",3
"196",3,"September 15, 2015","riches to rags at that price!","don't get me wrong this was good rice pudding. but 8$ for an individual bowl, christ alive, that's insane. then toppings at an additional $1.50 a pop, yes that's whipped cream for $1.50.
the texture of the pudding is also too smooth and needs a...more",4
"197",5,"September 15, 2015","yum!","whenever i'm in the area i have to stop here for the most delicious,decadent pudding ever. where else can you eat butter pecan,chocolate hazelnut, mascarpone, coconut rice pudding? it is expensive but worth it.",1
"198",5,"September 9, 2015","i'm not a great fan of rice pudding but...","this place was great. funky bright plastic decor, great menu - not just rice pud but a big range of delicious sounding toppings too. the taste, the flavours... wonderful.",1
"199",3,"September 5, 2015","good, but expensive","we stopped by here because my daughter loves rice pudding. there were a variety of flavors (cinnamon, cookies and cream, cheesecake). we ordered the cinnamon. it was good. small size is $7. i didn't think it was good enough to pay that much!",1
"200",5,"September 1, 2015","the best rice pudding!","a quirky little place with amazing rice pudding. the staff are friendly and the pudding is to die for!",2
"201",5,"August 19, 2015","why's everyone eating fro-yo?!","prior to my visit to rice to riches, i would have told you that i don't eat rice pudding. after the overwhelming choices - for both the flavor of rice pudding and toppings (omg), i can wholeheartedly say i would stand in line for this...more",1
"202",4,"August 19, 2015","great rice pudding!","great place to go! i'm an old fashioned kind a guy so my favorite is the traditional rice pudding. they have tons of flavors to cater to most peoples tastes but the traditional way to eat rice pudding is just plain or with cinnamon and...more",2
"203",4,"August 13, 2015","nice little treat","if you like rice pudding, this is definitely a place to try. good flavours and a nice store. also great location. it is a little pricey.",2
"204",5,"August 12, 2015","awesome setup","i loved the set up for this place. think build-your-own yogurt with the idea that you can get different types of rice. we had trouble finding it at first, but worth the walking around to get to the rice!",4
"205",5,"August 11, 2015","unique tasty rice pudding","rice to riches is one of a kind rice pudding. i love all the different choices and toppings and what honestly makes it for me is the decoration and the humor and attention to detail. the menu names are hysterical to even all the little...more",3
"206",5,"August 10, 2015","yaba daba doo!","we have been wanting to stop at r2r for a long time, but this time on our annual visit to nyc we finally tried it out. they have at least 20 flavors of rice pudding and toppings. check out the video on youtube to se...more",3
"207",4,"August 10, 2015","love this place","a cool twist on your rice. i love it! not for people who are watching their carbs though. i love their cute containers which you get to take home with th cute spoon. will surely visit this again whenever i'm in nyc.",1
"208",4,"August 10, 2015","fun","if you like rice pudding then this is a place you must visit. my wife and i stumbled upon it while exploring lower manhattan. the interior design is fun and the messages are hilarious. also love the bowls and spoons.",2
"209",4,"August 10, 2015","must visit","if you're a fan of rice pudding and are in nyc, this is a must stop. find a way to get here because you will not be disappointed. there are a bunch of different flavors. it's like the baskin robbins of rice pudding. and the...more",4
"210",5,"August 7, 2015","great for those who like rice pudding","great for those who like rice pudding, and i really love it! i was two years ago and it was good and this time was also very good, very tasty, a great selection of flavors and served at a very nice tools, you can buy...more",1
"211",5,"August 1, 2015","been to the branch in kuwait. amazing","reminds me of being a kid again. rice pudding is a dessert for all ages. you are spoilt for choice and flavor. i even took some back home with me (4 hour road trip). the pudding is amazing, but the colorful packaging and the oddly...more",5
"212",5,"July 30, 2015","life changed forever.","**to all those wondering, yes this is the same dessert shop featured in hitch**
(trying to) keep this one short because there's only so much i can say about it. funny decor, bright inviting atmosphere, friendly staff, clean store and restroom.
you've seriously never tried...more",2
"213",4,"July 23, 2015","delicious","every kind of rice pudding you can dream of. it was a bit of a trek down town from mid manhatten. but the spoons you get and the take home tubs are great you can also sit in. very modern inside. the rice pudding was...more",4
"214",5,"July 22, 2015","prepare to have your taste buds tickled!","rice to riches was recommended by a fellow sweet tooth and on our first night we sought it out! yummmmmmmm
we couldn't decide so went with coconut, almond and butterscotch with crumble and a cinnamon raisin crumble. its much more cost effective to get the...more",3
"215",5,"July 20, 2015","dedicated to rice pudding with sides - what could be better?","i was thrilled to hear of this place and it did not disappoint. if you are a fan of rice pudding, you must leave room for dessert or get some pudding to go for breakfast. the flavors are unique and delicious; the sides are imaginative...more",1
"216",4,"July 19, 2015","pricey rice pudding done well","a wonderful variety of flavored rice pudding in a nice store. three of us shared the ""epic"" 12 oz portion ($9) and it was plenty. we had half key lime & half coconut...they ran together on the bowl but tasted marvelous.",4
"217",3,"July 9, 2015","the rice pudding in a city like new york !!!!","if one like !! the rice based desserts / pudding's ;
then only it is worth it .
the place has a interesting decor which looks like an ice cream parlors but with a great ambience & also entertaining by writings on the walls ....more",2
"218",5,"July 4, 2015","rice pudding with sass","my husband and i had a day in the city and we finally decided to check out rice to riches.
the branding of the place is genius with tons of smart phrases that are both funny and true. you can taste any of the flavors...more",2
"219",5,"June 25, 2015","loved it!","i had eaten here several years ago and was so happy they were still there. i am not a fan of rice pudding but this place is heaven. i had the mascarpone pudding and my son and daughter-in-law had the vanilla. both were scrumptious, creamy,...more",4
"220",5,"June 22, 2015","the best rice pudding!!!!","the best rice pudding i've ever tasted. the flavor selections are unusual and always taste great. been here several times and there's always a line, but it never takes more than a few minutes to get served. love the little dishes and spoons that i've...more",1
"221",5,"June 21, 2015","hilarious and yummy!","this place is an absolute hoot. we had just eaten lunch at lombardi's and were kind of full, so we wanted a ""small"" dessert. the four of us split one with two kinds of rice pudding. both were delicious and there was plenty. we were...more",2
"222",4,"June 21, 2015","eat now think later","if you happen to be in nolita, have a sugar craving and do not have to count calories, check out this rice pudding paradise on springstreet. their pudding comes in a mouth watering variety of flavors such as 'butterscotch boulevard' and 'hit and run custard'....more",2
"223",5,"June 17, 2015","delicious creative rice pudding.","amazing rice pudding that comes in a plastic takeaway container you can keep - also huge, plan to share. there are so many different flavors, it's hard to choose, especially if you're sharing. will be returning.",1
"224",5,"June 17, 2015","cool place","this place is pretty cool. first off there are hilarious signs adorning the walls, windows and doors. i spent just as much time reading and laughing as i did picking out my dish!
large variety of flavors and we were also allowed to taste several...more",2
"225",5,"June 16, 2015","best dessert very original!","it was amazing to find this place! i've eaten sweet rice all my life and i've never seen so many flavors. they have a lot of different options , very original and the store design is very very nice! they serve it as if it...more",5
"226",3,"June 11, 2015","rice pud for people who do not know what it should taste like!","joined the many people who thought this was a great idea. the marketing is superb and the shop was full - taking people to a part of new york which they probably would not have otherwise visited. but as an aficionado of rice pud -...more",1
"227",5,"June 5, 2015","mmm ","the fact that there's a place that quells a rice pudding craving is everything. they have really wonderful flavors and each of them are worth trying!",5
"228",5,"May 29, 2015","oreo-gasmic mmmm","we were on our way to pick up pizza from lombardi's and spotted rice to riches across the street. we had to stop by and see what the funny signs on their windows were all about. i tried the oreo-gasm and it was delicious!! they...more",2
"229",5,"May 24, 2015","rice pudding with attitude","life is too short... go forth and enjoy the surprising goodness on offer in numerous variety. get some relief from the tyranny of choice by getting the 'omni' which allows you three of the flavors. don't eat it all at once. savor and share with...more",5
"230",5,"May 22, 2015","amazing!","this place must come to texas (preferably lubbock) so fascinating and delicious. i still have my bowls and flat spoons from many years ago. please expand!",1
"231",5,"May 19, 2015","this needs to be everywhere!","it's like an ice cream shop with toppings, only with rice pudding. a little on the pricey side, but servings are large enough to share.",4
"232",4,"May 18, 2015","very tasty, very tasty, very tasty.","check this place out. get the double scoop and enjoy two different flavors. i tried french toast and cheesecake. i loved both of them. the cheesecake finds a way to my heart always so this was a ace in the hole for me, but i...more",3
"233",5,"May 11, 2015","oh my lord!","i am not a fan of rice pudding and i was actually not interested in trying this place... but my husband insisted and so we walked in...
he ordered the butterscotch flavor and i ended up eating most of it...
heaven... just heaven...",2
"234",4,"May 9, 2015","you don't have to love rice pudding to enjoy this place.","this place has been on my radar for a few years. i finally was able to visit. the place is clean and uncluttered. the staff will let you try any and all flavors. i recommend that you do to determine what you like best.
i...more",2
"235",3,"May 8, 2015","love this place and i don't like rice pudding","true fact, i only eat rice pudding from two places, here and sophia's in buffalo ny.
the options at this place are awesome and the humor is free
even after way too much italian food on mulberry st (little italy) we always make room for...more",2
"236",1,"May 2, 2015","employee was biting her fingernails before serving customers","we came to visit rice to riches tonight after reading all the good reviews on tripadvisor, and everything looked really delicious. we were deciding what flavours to buy when we suddenly noticed that one of the employees (a blond woman with glasses) was picking her...more",2
"237",5,"April 30, 2015","best place","i love rice to riches. best desert in ny in my opnion. always worth a visit and it's just near the subway station and around a great area, in soho. highly recommended.",1
"238",3,"April 30, 2015","average ","pretty average rice pudding, seems quite commercial. i was expecting a independent quirky shop after reading reviews. signs are good to read but not a place i would recommend going out of your way for.",1
"239",5,"April 28, 2015","a must if you like milk puddings!","rice to riches is a must if you like milk puddings! it has a big variety of rice puddings. reasonable prices and good service. really an interesting and unique experience. further, the neighborhood is also very nice.",2
"240",5,"April 27, 2015","simply ""the best rice pudding ever""","this was my 6th visit and i felt i had to review this place. i rarely eat rice pudding but when i travel to nyc i make it a ""must stop"" . there is to much variety to list here but trust me you will...more",3
"241",4,"April 26, 2015","awe-rice-someness","my wife's and my youngest sons favorite , amazing thing about soho eat your choice of rice, supaaah delicious, come and try it.",3
"242",5,"April 25, 2015","best rice puddings ever - an nyc gem...","we discovered this spot on our way to lombardi's pizza. well, we ate so much rice pudding, we ended up skipping the pizza altogether (the reason for our escapade to little italy). we weren't disappointed though, i think we discovered one of our new classic...more",4
"243",5,"April 23, 2015","amazing! !!!","come here a few times during my trips to the city. it's absolutely amazing! first time was on tv and movie tour cause will smith had a scene filmed here from movie hitch. been coming here ever since! even had it delivered for special occasions...more",3
"244",5,"April 12, 2015","oh man i love rice pudding!","this is definitely a place worth a visit if you're going to new york!
great variety of flavours although it made me want to try every single one!
definitely buy an epic bowl as this means you get to have 2 flavours of rice pudding....more",5
"245",4,"April 11, 2015","mmmmmm fun","super comfy food with a fun twist. go and taste test the many unique flavor of rice pudding and while your at it add a topping (try the cherry reduction!). lots of fun signs to read while you get that mmmmmmm good feeling",2
"246",5,"April 8, 2015","amazing and fresh","truly new york is a place of amazing culinary choices
this shop is located in soho with distinct decor and placards that are also quite funny
the different rice pudding choices and flavors were surprising especially the almond and espresso flavors
they actually served coffee...more",5
"247",5,"March 25, 2015","wow!!!!","best rice pudding ever! i continue to come to rice to riches every time possible. it's just great. my favorite is cheesecake, but every other flavor is amazing.",3
"248",4,"March 22, 2015","yummy...","great little spot to stop for a snack or special treat. tons of choices that they let you try and also really cool toppings if you want. a little on the pricey side, but the quality is good, so i would go back without a...more",2
"249",5,"March 19, 2015","the best ever!!!!","i love rice pudding and my friend took me here for a nice treat. they have many flavors and toppings. whoever thought of that is a genius! they have lots of funny sayings posted all over the store. it's a fun place. they also ship...more",2
"250",5,"March 17, 2015","get off of trip advisor and go!","to begin, i was never a rice pudding fan. now i go out of my way to visit rice to riches. the marscapone and cherries were incredible. i carried it all through the city ending at the centurian lounge at lga with jealous looks from...more",4
"251",5,"March 13, 2015","please start a franchise!!!","i have to eat here every time i come to nyc. it is unbelievably good. i usually get coconut coma but this time, i went out of my comfort zone and ordered two flavors: coast to coast cheesecake and sex, drugs and rocky road. both...more",3
"252",5,"March 6, 2015","first time in nyc??? must visit rice to riches in little italy.","the food: great!
the place: fun!
the variety: unbelievable!
date night: definitely!
family: kids will love it!
the price: very reasonable!
and they're willing to ship nation wide using dry ice in their packaging.",1
"253",5,"March 4, 2015","one word: amazing","eventhough is expensive for such an easy dessert, the whole experience is wonderful and exquisite!
i tried 4 flavors plus toppings, order water or tea because this is an extra sweet experience!",5
"254",5,"March 3, 2015","a rice pudding lovers heaven.","this restaurant looks like a baskin robbins of rice pudding. if you love rice pudding this is the place for you. they must have 20-30 different flavors and toppings. it is a immaculate, clean and decorated in cheery orange and white. always make a point...more",4
"255",5,"February 15, 2015","a novel idea","this little gem is a tasty adaptation of the current frozen yogurt trend. there are several flavors of creamy rice pudding and several toppings to choose from. the servers were helpful with recommending which toppings were particularly good with which flavors of the rice puddings....more",4
"256",5,"February 9, 2015","superb","this place is a little gem we discovered during our trip to nyc. we tried the chocolate hazelnut and coconut flavoured rice pudding and they were both delicious! it is right down the street from lombardi's so grab a pizza for supper and head here...more",3
"257",4,"February 3, 2015","pack your lactaid pills :-)","be sure you try several flavors before making a decision. their rice pudding offerings have very good texture, often with varying conditions of firmness.",4
"258",5,"January 31, 2015","there should be a rice pudding store in every town","really good rice pudding with an outstanding decor. let us face it, rice pudding is an easy dessert to make, but this place dared to serve just that and do it fun. this is a great idea, i would have rice pudding every day if...more",2
"259",5,"January 13, 2015","still dreaming of it...","we heard about this place on a walking tour in the area and decided to give it a try despite me not being a rice pudding fan. i'm officially a convert! we shared a $9 bowl, trying butterscotch & coast to coach cheesecake. both were...more",2
"260",4,"January 1, 2015","interesting","went here for dessert after a meal in the city. the place is an interesting and unique concept though the price is a bit much. would be great if they added a smaller size than the solo to help customers save money. tons of flavors...more",1
"261",5,"December 31, 2014","rice pudding heaven!!","after a birthday celebration at pearl & ash we took a stroll over a few blocks to rice to riches. if you are a rice pudding junkie, coming here is like going to heaven.
the flavors are endless. from the year round favorites such as...more",4
"262",4,"December 31, 2014","rice is nice but...","great concept - most likely a franchise idea. fun environment and loved all the ""notes"" to read. so many (maybe way too many) flavours to taste. was a little too sweet and creamy (i know they warned me it was not for the diet conscious...more",1
"263",5,"December 30, 2014","incredible! best rice pudding i've ever tasted!","we were excited to visit, being big rice pudding livers and were not disappointed. we shared a trio of flavours for 12 dollars. banana and coconut, pecan and maple and marscapone and cherry. all was beautiful and very, very rich. wish i could. is it...more",4
"264",4,"December 28, 2014","rice pudding?","my friend had recommended this place and basically ""raved"" about rice pudding....skeptical me, had to venture. at first, the set up would remind you of a gelato or ice cream shop, there are quite a number of flavors to choose from. rice pudding! you've got...more",5
"265",1,"December 27, 2014","if you like rice pudding stay out","we were intrigued by this place, which is plastered in cutesy signs about eating, not dieting, overindulging, and advertising at least 27 varieties of rice pudding. we like rice pudding - and many of the items that they use for flavors, like cheesecake and french...more",4
"266",4,"December 4, 2014","you gotta like it","if you like rice pudding, this is the place for you. this is all they sell. at least twenty kinds from plain to exotic. i thought it was a little pricey until i saw the quantity we received with our order of a triple dishful....more",2
"267",5,"December 2, 2014","well done rice monkey","went in solely because it's the closest place to get pho from where i live. i was impressed, it was authentic, well priced, and perfectly sized for a meal. i can't wait to get back an have some rolls. the spot is neat an cozy.",5
"268",5,"November 30, 2014","yummy","i unexpectedly went to the city in november to hangout with my sister. she knew i wanted to go to rice to riches but i wasn't going to be able to go to soho to get some rice pudding, so she bring me some to...more",3
"269",5,"November 21, 2014","favorite fun place","different than ice cream, with a better consistency, if you like rice pudding. fun flavors. my favorite is the butterscotch boulevard. perfect after pizza at lombardi's.",2
"270",5,"November 16, 2014","delicious","ive finally tried rice to riches and i wasn't disappointed. its so good and i like that you can try the flavours so you'll know which one to pick. loved the play it again butter pecan and butterscotch boulevard.",1
"271",5,"November 15, 2014","yum yum in my tum tum","if you like rice pudding or even if you're not a fan, there's something for everyone at this amazing dessert store. the flavors span chocolate, vanilla and all sorts of combinations to delight the palate. a must do for dessert lovers and the funky dishware...more",1
"272",5,"November 11, 2014","a must each time i'm in nyc","this place offers a wide variety of rice pudding flavors. they are served in cool-colored plastic bowls with colored plastic curved spoons that you get to keep. i always go for the chocolate hazelnut and buttered pecan. the place is very trendy and the decor...more",2
"273",2,"November 10, 2014","excellent pudding unreasonably rude attitude","pudding is wonderful. however, the staff attitude is terribly rude and unfriendly. don't expect a proper spoken response when you ask for something. the worst staff is the short, blonde hair lady with glasses. watch out!",1
"274",5,"November 9, 2014","yum! ","if you like rice pudding, run, don't walk, to this place. with many flavors and unlimited samples what's not to like? the rice pudding is delicious and so are the cute dishes and spoons you get to keep. i have a whole set!",5
"275",5,"October 30, 2014","""i wanna be rich...""","...rich with rice pudding! i wouldn't consider myself a huge rice pudding fan but this visit was certainly a nice mid-day treat! the servings were more than enough for some leftovers and the texture, taste and temperature were perfect!",4
"276",5,"October 27, 2014","brilliant idea, delicious puddings","this was our first time to visit this bright and friendly place, which i had discovered on the internet. it is like an ice cream parlor, but with many flavors of rice pudding instead of ice cream. there must be about 20 flavors on offer....more",5
"277",4,"October 16, 2014","great for sharing","nice dessert treat, especially after enjoying spicy thai food at uncle boons (up the street.) the small size is expensive but sharing the next size up makes it a reasonably priced treat. we sampled many flavors and liked each one.",5
"278",4,"October 15, 2014","great desert","i stopped here after dining at lombardis and it's a great place for desert! i tried a couple of them and they where all really good. it is pretty expensive but you can have a cup now and then ;)",2
"279",4,"October 6, 2014","sweet treat","rice to riches lets you pretend sugar and cream are good for you because rice is involved! fabulous little shop, lots of fans and worth a visit!",2
"280",5,"October 6, 2014","unbelievable rice puddings","you won't believe this place in soho. they only serve rice pudding, but there are 21 flavors which change. we had rum & raisin, butterscotch, butter pecan and sex, drugs & rocky road. all were delicious and the helpings more than generous. if you like...more",1
"281",4,"September 28, 2014","so good!","we enjoyed our visit to rice to riches! tried several flavor samples, and each one was better than the last! they are very very sweet though, so a coffee is a good mix to balance the sweetness.",5
"282",5,"September 23, 2014","sweet rice from heaven","i'm a brazillian girl and in brazil we do have a traditon of eating sweet rice during a party that happens in the middle of the year, but here this dish it's commonly called canjica, and it tastes increadbly good. never thought i would be...more",2
"283",3,"September 22, 2014","for those that love rice pudding ","if you love rice pudding you cannot miss rice to riches. the place is very contemporary with their own signature bowls and spoons. they have a huge assortment of flavors. some of them very unique. like cheesecake rice pudding. it's a big tourist destination as...more",3
"284",4,"September 8, 2014","nice stop after enjoying lombardis pizza ","this is located just across the street from lombardis pizza which is one of my husband me i's favorite pizza spots when visiting nyc. it is definitely worth a stop! the variety of flavors is intriguing but we always land on the typical cinnamon and...more",5
"285",5,"September 8, 2014","rice pudding heaven","i have loved rice pudding since i was a child and when we were planning a trip to new york i was super excited to try rice to riches what could be better than a place that specialises in rice pudding??
well, rice to riches...more",4
"286",5,"September 4, 2014","best rice pudding!","definitely not cheap but they have a big variety of flavors and they are all amazing. the place looks nice and it's very clean. watch out you might get addicted to this rice pudding! :)",5
"287",4,"September 2, 2014","good to try various flavors","basically they serve rice pudding...but they have lots of varieties and flavors of rice pudding. imo the place is expensive, but its ok to try couple of flavors and then decide if its worth to repeat. as this place is next to taim  my...more",2
"288",3,"August 28, 2014","customer service was lacking","was walking by and saw this unique place. my wife and i decided to stop in and give it a try. what we encountered was a staff that seemed to be inattentive, with a minimalistic approach to customer interaction. to the point of not even...more",3
"289",4,"August 24, 2014","must-try","you must definetly visit and try this place especially if you are a first timer in this city. oh yeah, it's just a rice pudding. but it is so flavorful. it's also fun reading all those captions posted on the wall. i love the uniqueness...more",2
